processed 7117 tokens with 1091 phrases; found: 1111 phrases; correct: 355.
accuracy:  71.94%; precision:  31.95%; recall:  32.54%; FB1:  32.24
       actor.name: precision:  50.00%; recall:  20.00%; FB1:  28.57  32
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   2.70%; recall:   6.67%; FB1:   3.85  37
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
    director.name: precision:  38.71%; recall:  14.81%; FB1:  21.43  31
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision: 100.00%; recall:   2.78%; FB1:   5.41  1
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   movie.language: precision:  27.27%; recall:   4.35%; FB1:   7.50  11
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  30.70%; recall:  57.51%; FB1:  40.03  886
movie.release_date: precision:  42.86%; recall:  31.03%; FB1:  36.00  21
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    producer.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  16
      rating.name: precision:  60.29%; recall:  67.21%; FB1:  63.57  68
