processed 7117 tokens with 1091 phrases; found: 1154 phrases; correct: 304.
accuracy:  66.63%; precision:  26.34%; recall:  27.86%; FB1:  27.08
       actor.name: precision:  18.03%; recall:  27.50%; FB1:  21.78  122
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  20
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    director.name: precision:  47.37%; recall:  11.11%; FB1:  18.00  19
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   movie.language: precision:   6.45%; recall:   2.90%; FB1:   4.00  31
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  39.34%; recall:  47.57%; FB1:  43.06  572
movie.release_date: precision:  29.63%; recall:  27.59%; FB1:  28.57  27
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  174
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   3.33%; recall:   2.94%; FB1:   3.12  30
    producer.name: precision:   0.91%; recall:   1.37%; FB1:   1.09  110
      rating.name: precision:  73.47%; recall:  59.02%; FB1:  65.45  49
