processed 7117 tokens with 1091 phrases; found: 1652 phrases; correct: 268.
accuracy:  59.79%; precision:  16.22%; recall:  24.56%; FB1:  19.54
       actor.name: precision:  27.27%; recall:  18.75%; FB1:  22.22  55
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   0.94%; recall:   6.67%; FB1:   1.65  106
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    director.name: precision:  24.40%; recall:  50.62%; FB1:  32.93  168
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.description: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
      movie.genre: precision:   0.00%; recall:   0.00%; FB1:   0.00  18
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   movie.language: precision:  20.00%; recall:  18.84%; FB1:  19.40  65
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  45.37%; recall:  32.14%; FB1:  37.62  335
movie.release_date: precision:   1.15%; recall:  10.34%; FB1:   2.08  260
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.93%; recall:   6.82%; FB1:   1.63  324
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   5.56%; recall:   2.94%; FB1:   3.85  18
    producer.name: precision:   1.30%; recall:   1.37%; FB1:   1.33  77
      rating.name: precision:  17.04%; recall:  62.30%; FB1:  26.76  223
