processed 7117 tokens with 1091 phrases; found: 1114 phrases; correct: 357.
accuracy:  71.88%; precision:  32.05%; recall:  32.72%; FB1:  32.38
       actor.name: precision:  50.00%; recall:  20.00%; FB1:  28.57  32
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   2.70%; recall:   6.67%; FB1:   3.85  37
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
    director.name: precision:  48.00%; recall:  14.81%; FB1:  22.64  25
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision: 100.00%; recall:   2.78%; FB1:   5.41  1
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   movie.language: precision:  25.00%; recall:   4.35%; FB1:   7.41  12
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  30.88%; recall:  57.72%; FB1:  40.24  884
movie.release_date: precision:  40.91%; recall:  31.03%; FB1:  35.29  22
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    producer.name: precision:   5.00%; recall:   1.37%; FB1:   2.15  20
      rating.name: precision:  55.41%; recall:  67.21%; FB1:  60.74  74
