processed 7117 tokens with 1091 phrases; found: 1733 phrases; correct: 184.
accuracy:  63.55%; precision:  10.62%; recall:  16.87%; FB1:  13.03
       actor.name: precision:  46.15%; recall:   7.50%; FB1:  12.90  13
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision: 100.00%; recall:   6.67%; FB1:  12.50  1
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
    director.name: precision:   8.92%; recall:  40.74%; FB1:  14.63  370
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision: 100.00%; recall:   2.78%; FB1:   5.41  1
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   movie.language: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  61.54%; recall:  15.22%; FB1:  24.41  117
movie.release_date: precision:  50.00%; recall:   3.45%; FB1:   6.45  2
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:  50.00%; recall:   2.94%; FB1:   5.56  2
    producer.name: precision:   3.20%; recall:  52.05%; FB1:   6.02  1189
      rating.name: precision:  88.57%; recall:  50.82%; FB1:  64.58  35
