processed 7117 tokens with 1091 phrases; found: 1751 phrases; correct: 186.
accuracy:  63.62%; precision:  10.62%; recall:  17.05%; FB1:  13.09
       actor.name: precision:  54.55%; recall:   7.50%; FB1:  13.19  11
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   4.76%; recall:   6.67%; FB1:   5.56  21
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
    director.name: precision:   8.53%; recall:  40.74%; FB1:  14.10  387
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   movie.language: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
       movie.name: precision:  61.98%; recall:  15.86%; FB1:  25.25  121
movie.release_date: precision:  66.67%; recall:   6.90%; FB1:  12.50  3
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:  75.00%; recall:   8.82%; FB1:  15.79  4
    producer.name: precision:   3.00%; recall:  47.95%; FB1:   5.65  1166
      rating.name: precision:  91.18%; recall:  50.82%; FB1:  65.26  34
