processed 7117 tokens with 1091 phrases; found: 1148 phrases; correct: 357.
accuracy:  70.73%; precision:  31.10%; recall:  32.72%; FB1:  31.89
       actor.name: precision:  47.62%; recall:  25.00%; FB1:  32.79  42
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   2.78%; recall:   6.67%; FB1:   3.92  36
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
    director.name: precision:  50.00%; recall:  14.81%; FB1:  22.86  24
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision: 100.00%; recall:   2.78%; FB1:   5.41  1
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   movie.language: precision:  18.18%; recall:   5.80%; FB1:   8.79  22
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  29.22%; recall:  57.51%; FB1:  38.75  931
movie.release_date: precision:  50.00%; recall:  31.03%; FB1:  38.30  18
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    producer.name: precision:   7.14%; recall:   1.37%; FB1:   2.30  14
      rating.name: precision:  68.52%; recall:  60.66%; FB1:  64.35  54
