processed 7117 tokens with 1091 phrases; found: 1125 phrases; correct: 359.
accuracy:  71.73%; precision:  31.91%; recall:  32.91%; FB1:  32.40
       actor.name: precision:  48.48%; recall:  20.00%; FB1:  28.32  33
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
   character.name: precision:   2.63%; recall:   6.67%; FB1:   3.77  38
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
    director.name: precision:  48.00%; recall:  14.81%; FB1:  22.64  25
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision:  33.33%; recall:   2.78%; FB1:   5.13  3
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   movie.language: precision:  23.08%; recall:   4.35%; FB1:   7.32  13
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  31.00%; recall:  57.93%; FB1:  40.38  884
movie.release_date: precision:  40.00%; recall:  34.48%; FB1:  37.04  25
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    producer.name: precision:   5.88%; recall:   1.37%; FB1:   2.22  17
      rating.name: precision:  55.41%; recall:  67.21%; FB1:  60.74  74
