processed 7117 tokens with 1091 phrases; found: 1132 phrases; correct: 360.
accuracy:  71.70%; precision:  31.80%; recall:  33.00%; FB1:  32.39
       actor.name: precision:  48.48%; recall:  20.00%; FB1:  28.32  33
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   2.78%; recall:   6.67%; FB1:   3.92  36
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
    director.name: precision:  41.38%; recall:  14.81%; FB1:  21.82  29
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision: 100.00%; recall:   2.78%; FB1:   5.41  1
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   movie.language: precision:  31.25%; recall:   7.25%; FB1:  11.76  16
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  30.72%; recall:  57.93%; FB1:  40.15  892
movie.release_date: precision:  33.33%; recall:  31.03%; FB1:  32.14  27
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    producer.name: precision:   5.26%; recall:   1.37%; FB1:   2.17  19
      rating.name: precision:  57.75%; recall:  67.21%; FB1:  62.12  71
